"id","event_id","kind","text","score","source_id","chunk_type","metadata","created_at"
1,1,primary,"40| Spencer und Mill haben auf die Weltanschauungsentwicklung der letzten Jahrhunderthälfte einen großen Einfluss geübt. Das strenge Betonen der Beobachtung und die einseitige Bearbeitung der Methoden des beobachtenden Erkennens durch Mill; die Anwendung naturwissenschaftlicher Vorstellungen auf den ganzen Umfang des menschlichen Wissens durch Spencer: sie mussten den Empfindungen eines Zeitalters entsprechen, das in den idealistischen Weltanschauungen Fichtes, Schellings, Hegels nur Entartungen des menschlichen Denkens sah und dem die Erfolge der naturwissenschaftlichen Forschung alleinige Schätzung abgewannen, während die Uneinigkeit der idealistischen Denker und die, nach Meinung vieler, völlige Unfruchtbarkeit des in sich selbst sich vertiefenden Denkens ein tiefes Misstrauen gegenüber dem Idealismus erzeugten.",0.30730826,,,"{}",2025-12-12 13:19:14.435 +0100
2,1,primary,"40| Spencer und Mill haben auf die Weltanschauungsentwicklung der letzten Jahrhunderthälfte einen großen Einfluss geübt. Das strenge Betonen der Beobachtung und die einseitige Bearbeitung der Methoden des beobachtenden Erkennens durch Mill; die Anwendung naturwissenschaftlicher Vorstellungen auf den ganzen Umfang des menschlichen Wissens durch Spencer: sie mussten den Empfindungen eines Zeitalters entsprechen, das in den idealistischen Weltanschauungen Fichtes, Schellings, Hegels nur Entartungen des menschlichen Denkens sah und dem die Erfolge der naturwissenschaftlichen Forschung alleinige Schätzung abgewannen, während die Uneinigkeit der idealistischen Denker und die, nach Meinung vieler, völlige Unfruchtbarkeit des in sich selbst sich vertiefenden Denkens ein tiefes Misstrauen gegenüber dem Idealismus erzeugten.",0.30730826,,,"{}",2025-12-12 13:19:14.435 +0100
3,1,primary,"10| Mitte Juli 1920. <i>Rudolf Steiner</i>",0.30303368,,,"{}",2025-12-12 13:19:14.435 +0100
4,1,primary,"38| An einigen Denkerpersönlichkeiten wurde hier versucht, darzustellen, wie der Seelenimpuls der neueren Zeit im achtzehnten Jahrhundert durch die Weltanschauungsentwicklung strömt. In dieser Strömung leben die Keime, aus denen für diese Entwicklung das «Zeitalter Kants und Goethes» hervorgegangen ist.",0.26544654,,,"{}",2025-12-12 13:19:14.435 +0100
5,1,primary,"38| An einigen Denkerpersönlichkeiten wurde hier versucht, darzustellen, wie der Seelenimpuls der neueren Zeit im achtzehnten Jahrhundert durch die Weltanschauungsentwicklung strömt. In dieser Strömung leben die Keime, aus denen für diese Entwicklung das «Zeitalter Kants und Goethes» hervorgegangen ist.",0.26544654,,,"{}",2025-12-12 13:19:14.435 +0100
6,1,primary,"In einer schwungvollen Art weiß Eucken in seinen zahlreichen Schriften das Weben und Wesen dieser geistigen Welt darzustellen. Im «Kampf um den geistigen Lebensinhalt», in «Der Wahrheitsgehalt der Religion», «Grundlinien einer neuen Lebensanschauung», «Geistige Strömungen der Gegenwart», «Lebensanschauungen der großen Denker», «Erkennen und Leben» sucht er von verschiedenen Gesichtspunkten aus zu zeigen, wie die Menschenseele, indem sie sich selbst erlebt und in diesem Erleben recht versteht, sich durchsetzt und durchpulst weiß von einem schaffenden, lebendigen Geistessein, innerhalb dessen sie ein Teil und Glied ist. Gleich Dilthey schildert auch Eucken als den Inhalt des selbständigen Geisteslebens dasjenige, was sich in der Menschheitskultur, in den sittlichen, technischen, sozialen, künstlerischen Schöpfungen der Völker und Zeiten darstellt.",0.25205842,,,"{}",2025-12-12 13:19:14.435 +0100
7,1,primary,"In einer schwungvollen Art weiß Eucken in seinen zahlreichen Schriften das Weben und Wesen dieser geistigen Welt darzustellen. Im «Kampf um den geistigen Lebensinhalt», in «Der Wahrheitsgehalt der Religion», «Grundlinien einer neuen Lebensanschauung», «Geistige Strömungen der Gegenwart», «Lebensanschauungen der großen Denker», «Erkennen und Leben» sucht er von verschiedenen Gesichtspunkten aus zu zeigen, wie die Menschenseele, indem sie sich selbst erlebt und in diesem Erleben recht versteht, sich durchsetzt und durchpulst weiß von einem schaffenden, lebendigen Geistessein, innerhalb dessen sie ein Teil und Glied ist. Gleich Dilthey schildert auch Eucken als den Inhalt des selbständigen Geisteslebens dasjenige, was sich in der Menschheitskultur, in den sittlichen, technischen, sozialen, künstlerischen Schöpfungen der Völker und Zeiten darstellt.",0.25205842,,,"{}",2025-12-12 13:19:14.435 +0100
8,1,primary,"41| Mit der ganzen Kühnheit von Enthusiasten des Gedankens gingen Vogt, Büchner und Moleschott an die Erklärung aller Erscheinungen aus materiellen Vorgängen, wie sie sich vor den menschlichen Sinnen abspielen.",0.25113174,,,"{}",2025-12-12 13:19:14.435 +0100
9,1,primary,"41| Mit der ganzen Kühnheit von Enthusiasten des Gedankens gingen Vogt, Büchner und Moleschott an die Erklärung aller Erscheinungen aus materiellen Vorgängen, wie sie sich vor den menschlichen Sinnen abspielen.",0.25113174,,,"{}",2025-12-12 13:19:14.435 +0100
10,1,primary,"8| Noch radikaler geht Strauß zu Werke in seinem 1840 bis 1841 erschienenen Buch «Die christliche Glaubenslehre in ihrer geschichtlichen Entwicklung und im Kampfe mit der modernen Wissenschaft.» Hier handelt es sich ihm um Auflösung der christlichen Dogmen aus ihrer dichterischen Gestalt in die Gedankenwahrheiten, die ihnen zugrunde liegen. Er betont jetzt die Unverträglichkeit des modernen Bewusstseins mit demjenigen, das sich an die alten bildlich-mythischen Darstellungen der Wahrheit hält. <q author=""David Friedrich Strauß"" book-title=""Die christliche Glaubenslehre in ihrer geschichtlichen Entwicklung und im Kampfe mit der modernen Wissenschaft"" part=""1"">Also lasse der Glaubende den Wissenden, wie dieser jenen, ruhig seine Straße ziehen; wir lassen ihnen ihren Glauben, so lassen sie uns unsere Philosophie; und wenn es den Überfrommen gelingen sollte, uns aus ihrer Kirche auszuschließen, so werden wir dies für Gewinn achten. Falsche Vermittlungsversuche sind jetzt genug gemacht; nur die Scheidung der Gegensätze kann weiterführen.</q> Eine ungeheure Aufregung der Gemüter hatten Strauß’ Anschauungen hervorgebracht.",0.24775527,,,"{}",2025-12-12 13:19:14.435 +0100
